年度,問題番号,カテゴリ,出題法令,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解
R03,36,宅建業法,宅建業法（免許）,宅地建物取引業の免許（以下この問において「免許」という。）に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,法人である宅地建物取引業者A（甲県知事免許）について破産手続開始の決定があった場合、その日から30日以内に、Aを代表する役員Bは、その旨を、甲県知事に届け出なければならない。,宅地建物取引業者C（乙県知事免許）が国土交通大臣に免許換えの申請を行っているときは、Cは、取引の相手方に対し、重要事項説明書及び宅地建物取引業法第37条の規定により交付すべき書面を交付することができない。,宅地建物取引業者D（丙県知事免許）が、免許の更新の申請を怠り、その有効期間が満了した場合、Dは、遅滞なく、丙県知事に免許証を返納しなければならない。,宅地建物取引業者E（丁県知事免許）が引き続いて1年以上事業を休止したときは、丁県知事は免許を取り消さなければならない。,4
R03,37,宅建業法,宅建業法（宅地建物取引士）,宅地建物取引士に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。なお、この問において「登録」とは、宅地建物取引士の登録をいうものとする。,甲県知事の登録を受けている宅地建物取引士は、乙県に主たる事務所を置く宅地建物取引業者の専任の宅地建物取引士となる場合、乙県知事に登録の移転を申請しなければならない。,宅地建物取引士の氏名等が登載されている宅地建物取引士資格登録簿は一般の閲覧に供されることとはされていないが、専任の宅地建物取引士は、その氏名が宅地建物取引業者名簿に登載され、当該名簿が一般の閲覧に供される。,宅地建物取引士が、刑法第204条（傷害）の罪により罰金の刑に処せられ、登録が消除された場合、当該登録が消除された日から5年を経過するまでは、新たな登録を受けることができない。,未成年者は、宅地建物取引業に係る営業に関し成年者と同一の行為能力を有していたとしても、成年に達するまでは登録を受けることができない。,2
R03,38,宅建業法,宅建業法（業務規制）,"次の記述のうち、宅地建物取引業法の規定に違反しないものの組合せとして、正しいものはどれか。なお、この問において「建築確認」とは、建築基準法第6条第1項の確認をいうものとする。
ア　宅地建物取引業者Aは、建築確認の済んでいない建築工事完了前の賃貸住宅の貸主Bから当該住宅の貸借の媒介を依頼され、取引態様を媒介と明示して募集広告を行った。
イ　宅地建物取引業者Cは、建築確認の済んでいない建築工事完了前の賃貸住宅の貸主Dから当該住宅の貸借の代理を依頼され、代理人として借主Eとの間で当該住宅の賃貸借契約を締結した。
ウ　宅地建物取引業者Fは、自己の所有に属しない宅地について、自ら売主として、宅地建物取引業者Gと売買契約の予約を締結した。
エ　宅地建物取引業者Hは、農地の所有者Iと建物の敷地に供するため農地法第5条の許可を条件とする売買契約を締結したので、自ら売主として宅地建物取引業者ではない個人JとI所有の農地の売買契約を締結した。",ア、イ,ア、エ,イ、ウ,ウ、エ,3
R03,39,宅建業法,宅建業法（保証協会）,宅地建物取引業保証協会（以下この問において「保証協会」という。）に関する次の記述のうち、宅地建物取引業法の規定によれば、誤っているものはどれか。,保証協会は、その名称、住所又は事務所の所在地を変更しようとするときは、あらかじめ、その旨を国土交通大臣に届け出なければならない。,保証協会は、新たに社員が加入したときは、直ちに、その旨を当該社員である宅地建物取引業者が免許を受けた国土交通大臣又は都道府県知事に報告しなければならない。,宅地建物取引業者で保証協会に加入しようとする者は、その加入した日から1週間以内に、政令で定める額の弁済業務保証金分担金を当該保証協会に納付しなければならない。,保証協会の社員は、自らが取り扱った宅地建物取引業に係る取引の相手方から当該取引に関する苦情について解決の申出が保証協会にあり、保証協会から説明を求められたときは、正当な理由がある場合でなければ、これを拒んではならない。,3
R03,40,宅建業法,宅建業法（37条書面）,宅地建物取引業法第37条の規定により交付すべき書面（以下この問において「37条書面」という。）についての宅地建物取引業者Aの義務に関する次の記述のうち、正しいものはどれか。,Aは、自ら売主として、宅地建物取引業者Bの媒介により、Cと宅地の売買契約を締結した。BがA宅地建物取引士をして37条書面に記名押印させている場合、Aは宅地建物取引士をして当該書面に記名押印させる必要はない。,Aは、DをD売主としEを買主とする宅地の売買契約を媒介した。当該売買契約に、当該宅地が種類又は品質に関して契約の内容に適合しない場合においてその不適合を担保すべき責任に関する特約があるときは、Aは、当該特約について記載した37条書面をD及びEに交付しなければならない。,Aは、自ら買主として、Fと宅地の売買契約を締結した。この場合、Fに対して37条書面を交付する必要はない。,Aは、自ら貸主として、Gと事業用建物の定期賃貸借契約を締結した。この場合において、借賃の支払方法についての定めがあるときは、Aはその内容を37条書面に記載しなければならず、Gに対して当該書面を交付しなければならない。,2
R03,41,宅建業法,宅建業法（専任の宅地建物取引士）,宅地建物取引士に関する次の記述のうち、宅地建物取引業法の規定によれば、誤っているものはどれか。,宅地建物取引業者Aは、一団の宅地建物の分譲をするため設置した案内所には、契約を締結することなく、かつ、契約の申込みを受けることがないときでも、1名以上の専任の宅地建物取引士を置かなければならない。,宅地建物取引業者Bは、その主たる事務所に従事する唯一の専任の宅地建物取引士が退職したときは、2週間以内に、宅地建物取引業法第31条の3第1項の規定に適合させるため必要な措置を執らなければならない。,宅地建物取引業者Cが、20戸の一団の分譲建物の売買契約の申込みのみを受ける案内所甲を設置した場合、売買契約の締結は事務所乙で行うとしても、甲にも専任の宅地建物取引士を置かなければならない。,法人である宅地建物取引業者D社の従業者であり、宅地建物取引業に係る営業に関し成年者と同一の行為能力を有する20歳未満の婚姻歴のない宅地建物取引士Eは、D社の役員であるときを除き、D社の専任の宅地建物取引士となることができない。,1
R03,42,宅建業法,宅建業法（37条書面の記載事項）,"宅地建物取引業者が媒介により既存建物の貸借の契約を成立させた場合に関する次の記述のうち、宅地建物取引業法第37条の規定により当該貸借の契約当事者に対して交付すべき書面に記載しなければならない事項はいくつあるか。
ア　借賃以外の金銭の授受に関する定めがあるときは、その額並びに当該金銭の授受の時期及び目的
イ　設計図書、点検記録その他の建物の建築及び維持保全の状況に関する書面で、国土交通省令で定めるものの保存の状況
ウ　契約の解除に関する定めがあるときは、その内容
エ　天災その他不可抗力による損害の負担に関する定めがあるときは、その内容",一つ,二つ,三つ,四つ,3
R03,43,宅建業法,宅建業法（クーリング・オフ）,宅地建物取引業者Aが、自ら売主として、宅地建物取引業者ではない法人B又は宅地建物取引業者ではない個人Cをそれぞれ買主とする土地付建物の売買契約を締結する場合において、宅地建物取引業法第37条の2の規定に基づくいわゆるクーリング・オフに関する次の記述のうち、誤っているものはどれか。なお、この問において、買主は本件売買契約に係る代金の全部を支払ってはおらず、かつ、土地付建物の引渡しを受けていないものとする。,Bは、Aの仮設テント張りの案内所で買受けの申込みをし、その8日後にAの事務所で契約を締結したが、その際クーリング・オフについて書面の交付を受けずに告げられた。この場合、クーリング・オフについて告げられた日から8日後には、BはクーリングOフによる契約の解除をすることができない。,Bは、Aの仮設テント張りの案内所で買受けの申込みをし、その3日後にAの事務所でクーリング・オフについて書面の交付を受け、告げられた上で契約を締結した。この書面の中で、クーリング・オフによる契約の解除ができる期間を14日間としていた場合、Bは、その書面を交付された日から12日後であっても契約の解除をすることができる。,Cは、Aの仮設テント張りの案内所で買受けの申込みをし、その3日後にAの事務所でクーリング・オフについて書面の交付を受け、告げられた上で契約を締結した。Cは、その書面を受け取った日から起算して8日目に、Aに対しクーリング・オフによる契約の解除を行う旨の文書を送付し、その2日後にAに到達した。この場合、Aは契約の解除を拒むことができない。,Cは、Aの事務所で買受けの申込みをし、その翌日、喫茶店で契約を締結したが、AはクーリングOフについて告げる書面をCに交付しなかった。この場合、CはクーリングOフによる契約の解除をすることができない。,1
R03,44,宅建業法,宅建業法（重要事項説明の記載事項）,"宅地建物取引業者が行う宅地建物取引業法第35条に規定する重要事項の説明についての次の記述のうち、正しいものはいくつあるか。なお、説明の相手方は宅地建物取引業者ではないものとする。
ア　賃貸借契約において、取引対象となる宅地又は建物が、水防法施行規則第11条第1号の規定により市町村（特別区を含む。）の長が提供する図面に当該宅地又は建物の位置が表示されている場合には、当該図面における当該宅地又は建物の所在地を説明しなければならない。
イ　賃貸借契約において、対象となる建物が既存の住宅であるときは、法第34条の2第1項第4号に規定する建物状況調査を実施しているかどうか、及びこれを実施している場合におけるその結果の概要を説明しなければならない。
ウ　建物の売買において、その建物の種類又は品質に関して契約の内容に適合しない場合におけるその不適合を担保すべき責任の履行に関し保証保険契約の締結などの措置を講ずるかどうか、また、講ずる場合はその措置の概要を説明しなければならない。",一つ,二つ,三つ,なし,2又は3
R03,45,宅建業法,宅建業法（特定住宅瑕疵担保責任）,宅地建物取引業者Aが、自ら売主として宅地建物取引業者ではない買主Bに新築住宅を販売する場合における次の記述のうち、特定住宅瑕疵担保責任の履行の確保等に関する法律の規定によれば、正しいものはどれか。,Aは、Bの承諾を得た場合には、Bに引き渡した新築住宅について、住宅販売瑕疵担保保証金の供託又は住宅販売瑕疵担保責任保険契約の締結を行わなくてもよい。,Aは、基準日に係る住宅販売瑕疵担保保証金の供託及び住宅販売瑕疵担保責任保険契約の締結の状況について届出をしなければ、当該基準日の翌日から起算して1月を経過した日以後においては、新たに自ら売主となる新築住宅の売買契約を締結することができない。,"Aが住宅販売瑕疵担保責任保険契約を締結する場合、保険金額は2,000万円以上でなければならないが、Bの承諾を得た場合には、保険金額を500万円以上の任意の額とすることができる。",Aが住宅販売瑕疵担保責任保険契約を締結した場合、住宅の構造耐力上主要な部分又は雨水の浸入を防止する部分の瑕疵があり、Aが相当の期間を経過してもなお特定住宅販売瑕疵担保責任を履行しないときは、Bは住宅販売瑕疵担保責任保険契約の有効期間内であれば、その瑕疵によって生じた損害について保険金を請求することができる。,4
R03,46,税・その他,住宅金融支援機構,独立行政法人住宅金融支援機構（以下この問において「機構」という。）に関する次の記述のうち、誤っているものはどれか。,機構は、子どもを育成する家庭又は高齢者の家庭に適した良好な居住性能及び居住環境を有する賃貸住宅の建設に必要な資金の貸付けを業務として行っていない。,機構は、災害により住宅が滅失した場合において、それに代わるべき建築物の建設又は購入に必要な資金の貸付けを業務として行っている。,機構が証券化支援事業（買取型）により譲り受ける貸付債権は、自ら居住する住宅又は自ら居住する住宅以外の親族の居住の用に供する住宅を建設し、又は購入する者に対する貸付けに係るものでなければならない。,機構は、マンション管理組合や区分所有者に対するマンション共用部分の改良に必要な資金の貸付けを業務として行っている。,1
R03,47,税・その他,不当景品類及び不当表示防止法,宅地建物取引業者が行う広告に関する次の記述のうち、不当景品類及び不当表示防止法（不動産の表示に関する公正競争規約を含む。）の規定によれば、正しいものはどれか。,新築分譲マンションの販売広告において、近隣のデパート、スーパーマーケット、商店等の商業施設は、将来確実に利用できる施設であっても、現に利用できるものでなければ表示することができない。,"有名な旧跡から直線距離で1,100mの地点に所在する新築分譲マンションの名称に当該旧跡の名称を用いることができる。",土地の販売価格については、1区画当たりの価格並びに1㎡当たりの価格及び1区画当たりの土地面積のいずれも表示しなければならない。,新築分譲マンションの修繕積立金が住戸により異なる場合、広告スペースの関係で全ての住戸の修繕積立金を示すことが困難であっても、修繕積立金について全住戸の平均額で表示することはできない。,4
R03,48,税・その他,統計,次の記述のうち、正しいものはどれか。,令和3年版国土交通白書（令和3年6月公表）によれば、宅地建物取引業者数は、令和元年度末において10万業者を下回っている。,令和3年地価公示（令和3年3月公表）によれば、令和2年1月以降の1年間の地価の変動を見ると、全国平均の用途別では、住宅地、商業地及び工業地のいずれの用途も下落に転じた。,"令和3年版土地白書（令和3年6月公表）によれば、令和元年における我が国の国土面積は約3,780万haであり、このうち住宅地、工業用地等の宅地は約197万haとなっており、宅地及び農地の合計面積は、森林の面積を超えている。",建築着工統計（令和3年1月公表）によれば、令和2年1月から令和2年12月までのマンション着工戸数は、「三大都市圏計」及び「その他の地域」のいずれにおいても前年を下回っている。,4
R03,49,税・その他,土地,土地に関する次の記述のうち、最も不適当なものはどれか。,沿岸地域における地震時の津波を免れるためには、巨大な防波堤が必要であるが、それには限度があり、完全に津波の襲来を防ぐことはできない。,一般に凝灰岩、頁岩、花崗岩（風化してマサ土化したもの）は、崩壊しにくい。,低地は、大部分が水田や宅地として利用され、大都市の大部分もここに立地している。,平地に乏しい都市の周辺では、住宅地が丘陵や山麓に広がり、土砂崩壊等の災害を引き起こす例も多い。,2
R03,50,税・その他,建物,建物の構造に関する次の記述のうち、最も不適当なものはどれか。,組積式構造は、耐震性は劣るものの、熱、音などを遮断する性能が優れている。,組積式構造を耐震的な構造にするためには、大きな開口部を造ることを避け、壁厚を大きくする必要がある。,補強コンクリートブロック造は、壁式構造の一種であり、コンクリートブロック造を鉄筋コンクリートで耐震的に補強改良したものである。,補強コンクリートブロック造は、壁量を多く必要とせず、住宅等の小規模の建物には使用されていない。,4
