年度,問題番号,カテゴリ,出題法令,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解
令和7年度,31,宅建業法,宅建業法（禁止行為）,"次の記述のうち、宅地建物取引業法により禁止されている行為が含まれているものはいくつあるか。
ア　宅地建物取引士が、マンション販売の勧誘を電話で行うにあたり、まず、契約締結について勧誘する目的である旨を告げたうえで、自分の名前は名乗らず、自身の勤務する宅地建物取引業者の名称及び免許番号を伝えたうえで勧誘を行った。
イ　宅地建物取引業者が、賃貸マンションの媒介で入居申込者から申込みを受け付けたところ、当該マンションのオーナーからの審査回答待ちとなった。その後、入居申込者が、申込みを撤回したい旨電話で伝えたところ、当該宅地建物取引業者の従業員から声を荒げ「撤回をするなら、とりあえず事務所まで来てくれないと困る」と怒鳴られ、面会を強要された。申込者はその言動に不安を覚えたため、事務所に赴いて、申込みの撤回を申し出たところ、申込みの撤回が了承された。
ウ　宅地建物取引業者が、一時的にアルバイトを雇って、マンション販売の広告チラシの配布を行わせることとしたほか、契約書の作成業務も補助的に行わせるため、従業者証明書をその者に発行し、それらの業務を行わせた。ただし、そのアルバイトはマンション販売の広告チラシの配布の際には、従業者証明書を携帯していなかった。
エ　マンションの販売の勧誘における説明において、宅地建物取引士は、日当たりのよいマンションの購入希望者に対して、「マンション南側の月極駐車場は出来たばかりであり、将来にわたりそこにマンションなどの高層の建物が建つ予定は全くない」と説明し、購入希望者から購入申込みを受け付けた。",一つ,二つ,三つ,四つ,4
令和7年度,32,宅建業法,宅建業法（自ら売主制限・手付金等）,"宅地建物取引業者Aが、自ら売主として、宅地建物取引業者ではないBとの間でマンション（代金4,000万円）の売買契約を締結した場合に関する次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の規定に違反しないものはどれか。",Aは、建築工事完了前のマンションの売買契約を締結する際にBから手付金200万円を受領し、さらに建築工事中に200万円を中間金として受領した後、当該手付金と中間金について法第41条に定める保全措置を講じた。,Aは、建築工事完了後のマンションの売買契約を締結する際に、法第41条の2に定める保全措置を講じることなくBから手付金400万円を受領した。,Aは、建築工事完了前のマンションの売買契約を締結する際にBから手付金500万円を受領したが、Bに債務不履行がないにもかかわらず当該手付金500万円を返還して、契約を一方的に解除した。,"Aは、建築工事完了後のマンションの売買契約を締結する際に、当事者の債務の不履行を理由とする契約の解除に伴う損害賠償の予定額を1,000万円とする特約を定めた。",2
令和7年度,33,宅建業法,宅建業法（重要事項説明・37条書面）,"宅地建物取引業者Aが行う業務に関する次の記述のうち、宅地建物取引業法の規定によれば、誤っているものはいくつあるか。なお、この問において「37条書面」とは、同法第37条の規定により交付すべき書面をいうものとする。
ア　建物の賃貸借の媒介をするAは、当該建物の引渡しの時期について、重要事項説明書に記載して説明する必要はないが、37条書面には記載しなければならない。
イ　Aは、自ら売主として建物を売却する場合、重要事項説明書に記載しなければならない契約の解除に関する事項については、契約に定めがなくても37条書面に全て記載しなければならない。
ウ　Aは、売主を代理して、抵当権が登記されている建物を売却する場合、買主に交付する37条書面だけでなく、売主に交付する37条書面についても、当該抵当権の内容を記載しなければならない。
エ　建物の賃貸借の媒介をするAは、37条書面を交付するに当たり、宅地建物取引士をして、その内容を説明させなければならない。",一つ,二つ,三つ,四つ,3
令和7年度,34,宅建業法,宅建業法（免許・欠格事由）,"宅地建物取引業の免許（以下この問において「免許」という。）に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはいくつあるか。
ア　A社の政令で定める使用人Bは、刑法第234条（威力業務妨害）の罪により、懲役2年、執行猶予2年の刑に処せられた後、A社を退任し、新たにC社の政令で定める使用人に就任した。Bの執行猶予期間が満了していない場合に、C社が免許を申請しても、免許を受けることができない。
イ　D社は、不正の手段により免許を取得したことによる免許の取消処分に係る聴聞の期日及び場所が公示された日から当該処分がなされるまでの間に、宅地建物取引業法第11条の規定による廃業の届出をした。その廃業に相当の理由がなかった場合、当該公示の日の40日前にD社の取締役を退任したEは、当該届出から5年経過しなければ、免許を申請しても免許を受けることができない。
ウ　営業に関し成年者と同一の行為能力を有しない未成年者であるFの法定代理人であるGが、刑法第206条（現場助勢）の罪により罰金の刑に処せられていた場合、その刑の執行が終わった日から5年を経過していなくても、Fは免許を申請すれば免許を受けることができる。
エ　H社の政令で定める使用人Jは、裁判所へJ自身の破産申し立てを行った後、H社を退任し、裁判所から破産手続の開始決定を受けるまでの間に、新たにK社の政令で定める使用人に就任した。その後、Jが復権を得た場合、その日から5年を経過しなくても、K社が免許を申請すれば、免許を受けることができる。",一つ,二つ,三つ,四つ,3
令和7年度,35,宅建業法,宅建業法（営業保証金）,宅地建物取引業者A（甲県知事免許）の営業保証金に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。なお、Aは宅地建物取引業保証協会の社員ではないものとする。,免許の有効期間満了の際、Aが営業保証金を取り戻そうとする場合には、供託した営業保証金につき還付を受ける権利を有する者に対し、6か月を下らない一定期間内に申し出るべき旨を官報に公告しなければならない。,Aが営業保証金を供託する場合において、金銭と有価証券を併用して供託することができるが、従たる事務所を設置したときの営業保証金については、金銭のみをもって供託しなければならない。,Aは、事業の開始後新たに乙県に従たる事務所を設置したときは、従たる事務所の最寄りの供託所に営業保証金を供託し、その供託物受入の記載のある供託書の写しを添付して、その旨を甲県知事に届け出なければならない。,Aの設置した支店においてAと宅地建物取引業に関する取引をした者は、その取引により生じた債権に関し、500万円を限度としてその債権の弁済を受ける権利を有する。,1
令和7年度,36,宅建業法,宅建業法（禁止行為・誇大広告等）,"宅地建物取引業者Aの業務に関する次の記述のうち、宅地建物取引業法の規定によれば、禁止されているものはいくつあるか。
ア　Aの従業者は、電話によりBに投資用マンションの購入の勧誘を行った際、Bから「Aから購入する意思は一切無いので、今後電話を含め勧誘はしないでほしい。」と告げられたが、その翌日、Bに対し、再度の勧誘を行った。
イ　建物の購入希望者から「契約の締結についてしばらく考えさせてほしい。」という申し出があったので、Aの従業者は、他に買い手がいないにもかかわらず、「他に買い手がいるので、今日中しか契約の締結はできない。」と当該購入希望者に告げた。
ウ　Aの従業者は、建物の購入希望者に対して、長時間にわたり契約の締結をするための勧誘を行い、当該購入希望者を困惑させた。
エ　建物の売買を媒介しているAの従業者は、手持ち資金がない購入希望者に対して「手付金は当社が貸し付けるので後から返してくれれば構わない。」と告げて、契約の締結を誘引したが、契約には至らなかった。",一つ,二つ,三つ,四つ,4
令和7年度,37,宅建業法,宅建業法（重要事項説明）,宅地建物取引業者が行う宅地建物取引業法第35条に規定する重要事項の説明に関する次の記述のうち、正しいものはどれか。なお、説明の相手方は宅地建物取引業者ではないものとする。,建物の貸借の媒介を行う場合、当該建物が都市計画法の準防火地域内にあり、建築基準法第61条第1項に基づく建物の構造に係る制限があるときは、その概要を説明しなければならない。,マンションの分譲を行う場合、建物の区分所有等に関する法律第2条第3項に規定する専用部分の用途その他の利用の制限に関する規約の定めが案の段階であるときは、説明する必要はない。,建物の貸借の媒介を行う場合、借賃以外に授受される金銭の額、授受の目的及び保管方法を説明しなければならない。,鉄筋コンクリート造の既存の共同住宅の販売を行う場合、宅地建物取引業法第34条の2第1項第4号に規定する建物状況調査を1年6か月前に実施したときは、建物状況調査を実施したこと、その結果の概要について説明しなくてはならない。,4
令和7年度,38,宅建業法,宅建業法（広告・取引態様）,"宅地建物取引業者Aが行う業務に関する次の記述のうち、宅地建物取引業法の規定によれば、誤っているものはいくつあるか。
ア　Aは、宅地又は建物の売買に関する広告をする際に取引態様の別を明示した場合、当該広告を見た者から売買に関する注文を受けたときは、改めて取引態様の別を明示する必要はない。
イ　Aは、宅地の売買に関する広告をするに当たり、当該宅地の形質について、実際のものよりも著しく優良であると人を誤認させる表示をした場合、当該宅地に関する注文がなく、売買が成立しなかったときであっても、監督処分及び罰則の対象となる。
ウ　Aは、複数の区画がある宅地の売買について、数回に分けて広告をする予定でいる場合、最初に行う広告に取引態様の別を明示すれば足り、それ以降は明示する必要はない。
エ　Aは、建物の貸借の媒介において、依頼者の依頼によらない広告をした場合、国土交通大臣の定める報酬限度額となる媒介報酬のほか、当該広告の料金に相当する額を受領できる。",一つ,二つ,三つ,四つ,3
令和7年度,39,宅建業法,宅建業法（媒介契約）,宅地建物取引業者Aが、BからB所有の中古住宅の売却について媒介の依頼を受けた場合における次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の規定によれば、正しいものはどれか。,AがBとの間で専属専任媒介契約を締結し、Bから「売り出し中であることを秘密にしておきたいので指定流通機構への登録はしないでほしい」旨の申出があった場合、Aは、そのことを理由に登録をしなかったとしても法に違反しない。,Aは、Bとの間で有効期間を1か月とする専属専任媒介契約を締結する際、「Bが媒介契約を更新する旨を申し出ない場合は、有効期間満了により自動更新するものとする」旨の特約は有効である。,AがBと一般媒介契約を締結したときは、法第34条の2第1項の規定に基づき交付すべき書面に、宅地建物取引士をして記名させなければならない。,AがBとの間で専属専任媒介契約を締結した場合、Aは、当該中古住宅の取引の申込みの受付に関する状況を指定流通機構に登録しなければならない。,4
令和7年度,40,宅建業法,宅建業法（クーリングオフ）,"宅地建物取引業者Aが、自ら売主として、宅地建物取引業者Bの媒介により、宅地建物取引業者ではない買主Cとの間で宅地の売買契約を締結した場合、宅地建物取引業法第37条の2の規定に基づくいわゆるクーリング・オフに関する次の記述のうち、正しいものはいくつあるか。
ア　Cは、Bの事務所で買受けの申込みを行い、その3日後に、Cの自宅近くの喫茶店で売買契約を締結した場合、クーリング・オフによる契約の解除はできない。
イ　AとCの間で、クーリング・オフによる契約の解除に関し、Cは契約の解除の書面をクーリング・オフの告知の日から起算して8日以内にAに到達させなければ契約を解除することができない旨の特約を定めた場合、当該特約は無効である。
ウ　Cは、Bからの提案によりCの自宅で買受けの申込みを行ったが、クーリング・オフについては告げられず、その10日後に、Aの事務所で売買契約を締結した場合、クーリング・オフによる契約の解除はできない。
エ　クーリング・オフについてCに告げる書面には、Aの商号又は名称及び住所並びに免許証番号を記載しなければならないが、Bの商号又は名称及び住所並びに免許証番号の記載は必要ない。",一つ,二つ,三つ,なし,3
令和7年度,41,宅建業法,宅建業法（免許）,宅地建物取引業の免許（以下この問において「免許」という。）に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,宅地建物取引業者A（甲県知事免許）が免許を受けてから1年以内に事業を開始しないときは、甲県知事は免許を取り消さなければならない。,宅地建物取引業者B（甲県知事免許）が株主総会の決議により解散した場合、Bを代表する役員であった者は、その旨を当該解散の日から60日以内に甲県知事に届け出なければならない。,宅地建物取引業者ではないCが甲県に本店を、乙県に支店をそれぞれ有する場合で、乙県の支店のみで新たに宅地建物取引業を営もうとするときは、Cは乙県知事の免許を受けなければならない。,宅地建物取引業者D（甲県知事免許）は、甲県の事務所を廃止し、乙県内で新たに事務所を設置して宅地建物取引業を営もうとする場合、甲県知事へ廃業の届出を行うとともに、乙県知事への免許換えの申請を行わなければならない。,1
令和7年度,42,宅建業法,宅建業法（宅地建物取引士）,"宅地建物取引士に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはいくつあるか。なお、この問において、宅地建物取引士は、事務の禁止の処分を受けていないものとする。
ア　二つ以上の都道府県において宅地建物取引士資格試験に合格した者は、当該試験を行った都道府県のうち試験日が遅い都道府県知事の登録以外を受けることができない。
イ　宅地建物取引士は、その登録している勤務先の名称に変更があった場合、登録を受けている都道府県知事に、変更の登録の申請とあわせて、宅地建物取引士証の書換え交付を申請しなければならない。
ウ　宅地建物取引士は、宅地建物取引士証が効力を失ったときは、速やかに、宅地建物取引士証をその交付を受けた都道府県知事に返納しなければならない。
エ　宅地建物取引士は、登録を受けている都道府県知事の管轄する都道府県以外の都道府県に所在する宅地建物取引業者の事務所の業務に従事しているときは、登録の移転の申請をすることができる。",一つ,二つ,三つ,四つ,2
令和7年度,43,宅建業法,宅建業法（重要事項説明）,"宅地建物取引業者が行う宅地建物取引業法第35条に規定する重要事項の説明に関する次の記述のうち、正しいものはいくつあるか。なお、説明の相手方は宅地建物取引業者ではないものとする。
ア　自らを委託者とする宅地又は建物に係る信託の受益権の売主となる場合、相手方に金融商品取引法第2条第10項に規定する目論見書を交付し、宅地建物取引業法第35条第3項の規定に基づき説明すべき事項のすべてが当該目論見書に記載されているときは、重要事項説明書の交付及び説明を省略することができる。
イ　建物の貸借の媒介を行う場合、当該建物が建築工事の完了前のものであるときは、その完了時における当該建物の主要構造部、内装及び外装の構造又は仕上げ並びに設備の設置及び構造について説明しなければならない。
ウ　建物の貸借の媒介を行う場合、敷金その他いかなる名義をもって授受されるかを問わず、契約終了時において精算することとされている金銭の精算に関する事項を説明しなければならない。
エ　宅地の売買の媒介を行う場合、当該宅地が津波防災地域づくりに関する法律第21条第1項により指定された津波防護施設区域内にあるときは、同法第23条第1項の規定による制限の概要について説明しなければならない。",一つ,二つ,三つ,四つ,4
令和7年度,44,宅建業法,犯罪収益移転防止法,宅地建物取引業者は、犯罪による収益の移転防止に関する法律第2条第2項の特定事業者に該当するが、宅地建物取引業者Aの行為に関する次の記述のうち、同法に違反するものはどれか。,Aは、土地付建物の売買を行うに際して、当該売買契約の相手方である買主が自然人であったので、氏名、住居、生年月日、取引を行う目的及び職業について、確認した。,"Aは、価額が5,000万円の土地付建物の売買を行ったとき、直ちに、一定の方法により、当該売買契約の相手方である買主の確認記録を検索するための事項、当該取引の期日及び内容その他の事項に関する記録を作成して保存していたが、当該取引の行われた日から5年経過したので、当年度末に当該記録を廃棄した。",Aは、土地付建物の売買契約の相手方である買主から収受した代金について犯罪により得た収益であるとの疑いがあったので、速やかに、所定の事項を行政庁に届け出た。,Aは、取引時確認、取引記録等の保存、疑わしい取引の届出等の措置を的確に行うため、顧客と実際に接する営業担当者に対する教育訓練を実施した。,2
令和7年度,45,宅建業法,特定住宅瑕疵担保責任履行確保法,特定住宅瑕疵担保責任の履行の確保等に関する法律に基づく住宅販売瑕疵担保保証金（以下この問において「保証金」という。）の供託又は住宅販売瑕疵担保責任保険契約（以下この問において「保険契約」という。）の締結に関する次の記述のうち、正しいものはどれか。,宅地建物取引業者は、基準日から3週間を経過する日までの間において、当該基準日前15年間に自ら売主となる売買契約に基づき宅地建物取引業者ではない買主に引き渡した新築住宅（保険契約に係る新築住宅を除く。）について、保証金の供託をしていなければならない。,宅地建物取引業者は、自ら売主となる売買契約に基づき新築住宅を引き渡す場合だけでなく、新築住宅の売買の媒介をする場合においても、保証金の供託又は保険契約の締結をしなければならない。,保険契約を締結している宅地建物取引業者は、新築住宅を引き渡した時から10年間、構造耐力上主要な部分の瑕疵によって生じた損害についてのみ当該保険契約に係る保険金を請求することができる。,保険契約を締結している宅地建物取引業者及び当該業者が売主となっている新築住宅の買主は、指定住宅紛争処理機関に特別住宅紛争処理の申請をすることにより、当該新築住宅の売買契約に関する宅地建物取引業者と買主との間の紛争について、あっせん、調停又は仲裁を受けることができる。,4
令和7年度,46,税・その他,住宅金融支援機構法,独立行政法人住宅金融支援機構（以下この問において「機構」という。）に関する次の記述のうち、誤っているものはどれか。,機構は、災害により住宅が滅失した場合におけるその住宅に代わるべき住宅の建設又は購入に係る貸付金について、一定の元金返済の据置期間を設けることができる。,機構は、証券化支援事業（買取型）において、債務者又は債務者の親族が居住する住宅のみならず、賃貸住宅の建設又は購入に必要な資金の貸付けに係る金融機関の貸付債権についても譲受けの対象としている。,機構は、高齢者が自ら居住する住宅に対して行うバリアフリー工事に係る貸付けについて、貸付金の償還を高齢者の死亡時に一括して行うという制度を設けている。,機構は、市街地の土地の合理的な利用に寄与する一定の建築物の建設に必要な資金の貸付けを業務として行っている。,2
令和7年度,47,税・その他,景品表示法・公正競争規約,宅地建物取引業者が行う広告に関する次の記述のうち、不当景品類及び不当表示防止法（不動産の表示に関する公正競争規約を含む。）の規定によれば、正しいものはどれか。,団地（一団の宅地又は建物をいう。）と駅との間の道路距離は、取引する区画のうち駅から最も近い区画（マンション及びアパートにあっては、駅から最も近い建物の出入口）を起点として算出した数値又は駅から最も遠い区画（マンション及びアパートにあっては、駅から最も遠い建物の出入口）を起点として算出した数値のいずれかを表示しなければならない。,新築分譲マンションを販売するに当たり、住戸により管理費の額が異なる場合であって、その全ての住宅の管理費を表示することが困難であるときは、最高額のみで表示することができる。,物件の近くに新設される予定の駅等又はバスの停留所については、当該路線の運行主体が公表していれば、現に利用できるものではなくても新設予定時期を明示して表示することができる。,道路距離80mにつき1分間を要するものとして、賃貸物件から最寄りの駅までの徒歩による所要時間を算出したところ15分50秒であった。この場合、当該所要時間を15分と表示してよい。,3
令和7年度,48,税・その他,統計（住宅着工・地価・土地取引）,次の記述のうち、正しいものはどれか。,年次別法人企業統計調査（令和5年度。令和6年9月公表）によれば、令和5年度における不動産業の営業利益は7兆円を超えているが、前年度に比べ減少した。,建築着工統計調査報告（令和6年計。令和7年1月公表）によれば、令和6年の新設住宅着工戸数は、持家、分譲住宅のいずれにおいても前年に比べ減少した。,令和7年地価公示（令和7年3月公表）によれば、令和6年1月以降の1年間の地価変動率は、三大都市圏平均では住宅地、商業地ともに上昇となったものの、地方圏平均では住宅地、商業地ともに下落となった。,令和7年版土地白書（令和7年5月公表）によれば、土地取引について、売買による所有権の移転登記の件数でその動向を見ると、令和6年の全国の土地取引件数は200万件を超えており、前年に比べ大きく増加した。,2
令和7年度,49,税・その他,土地（地形・地盤）,土地に関する次の記述のうち、最も不適当なものはどれか。,川沿いの低地に堆積している川が運んだ土砂は、重い構造物を支持できる。,砂州や砂丘には、粒径のそろった砂が堆積しており、地下水位が浅い箇所では、液状化しやすくなる。,丘陵地は、山地ほど斜面の勾配がきつくなく、山地に比べ斜面崩壊は生じ難いといえる。,台地は低地より古い時代に形成された地盤であり、一般に構造物を支持できる強度を有している。,1
令和7年度,50,税・その他,建物（構造・材料）,建物の構造と材料に関する次の記述のうち、最も不適当なものはどれか。,鋼材の素材の鋼は、鉄や炭素などの成分を含んでおり、炭素量が多いものほど、軟質で強度が小さい。,鋼材は、熱に弱く、さびやすいので、耐火や防錆の処理を施す必要がある。,鋼材は、強度が高く、粘りがあり、比較的小さな断面部材で荷重に耐えることができる。,鋼材の素材の鋼の密度は、木材やコンクリートに比べて大きい。,1
